product_id,parent_product_id,base_product_name,product_name,brand_id,brand_name,manufacturer,category_id,category_name,subcategory_id,subcategory_name,product_type,variations_or_target,priority,note,source_url,is_active,content_amount,flavor,scent,variant_source,split_status,needs_research,review_reason,verification_status,verified_source_url,verified_note,verified_at
product_0003_vf001,product_0003,銀のスプーン 缶,銀のスプーン 缶 まぐろ,brand_066,銀のスプーン,ユニ・チャーム,cat_food,フード,subcat_002,ウェットフード,シリーズ,まぐろ・かつお・ささみ系 / 子ねこ用等,A,量販店・ECでの初期マスタ優先度高,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699660460.html,true,70g,まぐろ,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699660460.html,公式商品ページで缶の味・容量を確認,2026-07-08
product_0003_vf002,product_0003,銀のスプーン 缶,銀のスプーン 缶 まぐろ・かつおにささみ入り,brand_066,銀のスプーン,ユニ・チャーム,cat_food,フード,subcat_002,ウェットフード,シリーズ,まぐろ・かつお・ささみ系 / 子ねこ用等,A,量販店・ECでの初期マスタ優先度高,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699660460.html,true,70g,まぐろ・かつおにささみ入り,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699660460.html,公式商品ページで缶の味・容量を確認,2026-07-08
product_0004_vf001,product_0004,銀のスプーン パウチ,銀のスプーン パウチ まぐろ,brand_066,銀のスプーン,ユニ・チャーム,cat_food,フード,subcat_002,ウェットフード,シリーズ,まぐろ・かつお・ささみ・ジュレ系,A,量販店・ECでの初期マスタ優先度高,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,true,60g,まぐろ,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,公式商品ページでパウチの味・容量を確認,2026-07-08
product_0004_vf003,product_0004,銀のスプーン パウチ,銀のスプーン パウチ まぐろ・かつおにかつお節入り,brand_066,銀のスプーン,ユニ・チャーム,cat_food,フード,subcat_002,ウェットフード,シリーズ,まぐろ・かつお・ささみ・ジュレ系,A,量販店・ECでの初期マスタ優先度高,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,true,60g,まぐろ・かつおにかつお節入り,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,公式商品ページでパウチの味・容量を確認,2026-07-08
product_0004_vf005,product_0004,銀のスプーン パウチ,銀のスプーン パウチ まぐろ・かつおにささみ入り,brand_066,銀のスプーン,ユニ・チャーム,cat_food,フード,subcat_002,ウェットフード,シリーズ,まぐろ・かつお・ささみ・ジュレ系,A,量販店・ECでの初期マスタ優先度高,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,true,60g,まぐろ・かつおにささみ入り,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,公式商品ページでパウチの味・容量を確認,2026-07-08
product_0004_vf007,product_0004,銀のスプーン パウチ,銀のスプーン パウチ まぐろ・かつおにしらす入り,brand_066,銀のスプーン,ユニ・チャーム,cat_food,フード,subcat_002,ウェットフード,シリーズ,まぐろ・かつお・ささみ・ジュレ系,A,量販店・ECでの初期マスタ優先度高,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,true,60g,まぐろ・かつおにしらす入り,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,公式商品ページでパウチの味・容量を確認,2026-07-08
product_0007_v01,product_0007,AllWell 吐き戻し軽減,AllWell 吐き戻し軽減 チキン,brand_001,AllWell,ユニ・チャーム,cat_food,フード,subcat_001,ドライフード,シリーズ,チキン・フィッシュ等 / 年齢別,A,健康訴求フードとして登録推奨,https://jp.unicharmpet.com/ja/allwell/home.html,true,要確認,チキン,該当なし,content=not_in_source_csv;flavor=variations_or_target;scent=not_applicable_or_not_found,needs_official_variant_check,true,内容量が元CSVにない / シリーズ粒度のため公式SKU確認が必要,remaining_needs_official_check,,公式の内容量・味が未確定のため要確認キューに残した,2026-07-08
product_0007_v02,product_0007,AllWell 吐き戻し軽減,AllWell 吐き戻し軽減 フィッシュ,brand_001,AllWell,ユニ・チャーム,cat_food,フード,subcat_001,ドライフード,シリーズ,チキン・フィッシュ等 / 年齢別,A,健康訴求フードとして登録推奨,https://jp.unicharmpet.com/ja/allwell/home.html,true,要確認,フィッシュ,該当なし,content=not_in_source_csv;flavor=variations_or_target;scent=not_applicable_or_not_found,needs_official_variant_check,true,内容量が元CSVにない / シリーズ粒度のため公式SKU確認が必要,remaining_needs_official_check,,公式の内容量・味が未確定のため要確認キューに残した,2026-07-08
product_0008_vf001,product_0008,AllWell 室内猫用,AllWell 室内猫用 フィッシュ味,brand_001,AllWell,ユニ・チャーム,cat_food,フード,subcat_001,ドライフード,シリーズ,室内猫向け,A,健康訴求フードとして登録推奨,https://jp.unicharmpet.com/ja/allwell/lineup.html,true,140g,フィッシュ味,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/allwell/lineup.html,公式ラインアップで室内猫用の味・容量を確認,2026-07-08
product_0008_vf005,product_0008,AllWell 室内猫用,AllWell 室内猫用 チキン味,brand_001,AllWell,ユニ・チャーム,cat_food,フード,subcat_001,ドライフード,シリーズ,室内猫向け,A,健康訴求フードとして登録推奨,https://jp.unicharmpet.com/ja/allwell/lineup.html,true,140g,チキン味,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/allwell/lineup.html,公式ラインアップで室内猫用の味・容量を確認,2026-07-08
