source_id,source_key,url,note
source_001,unicharm_ginspoon,https://jp.unicharmpet.com/ja/brand/ginspoon.html,商品マスタのsource_url列に使用
source_002,unicharm_nekogenki,https://jp.unicharmpet.com/ja/brand/nekogenki.html,商品マスタのsource_url列に使用
source_003,unicharm_allwell,https://jp.unicharmpet.com/ja/allwell/home.html,商品マスタのsource_url列に使用
source_004,unicharm_deotoilet,https://jp.unicharmpet.com/ja/deotoilet/lineup.html,商品マスタのsource_url列に使用
source_005,inaba_cat,https://www.inaba-petfood.co.jp/product/cat/,商品マスタのsource_url列に使用
source_006,inaba_churu,https://www.inaba-petfood.co.jp/product/name/cat/CIAO%2B%E3%81%A1%E3%82%85%EF%BD%9E%E3%82%8B,商品マスタのsource_url列に使用
source_007,petline_cat,https://www.petline.co.jp/cat/,商品マスタのsource_url列に使用
source_008,petline_general,https://www.petline.co.jp/cat/search/204012/,商品マスタのsource_url列に使用
source_009,npf_cat,https://www.npf.co.jp/cat-products,商品マスタのsource_url列に使用
source_010,royalcanin_shop,https://www.royalcanin.com/jp-shop/cats,商品マスタのsource_url列に使用
source_011,royalcanin_vet,https://vet.royalcanin.jp/static_page/cat,商品マスタのsource_url列に使用
source_012,hills,https://www.hills.co.jp/,商品マスタのsource_url列に使用
source_013,purina_cat,https://purina.nestle.jp/food/cat,商品マスタのsource_url列に使用
source_014,monpetit,https://purina.nestle.jp/our-brands/monpetit,商品マスタのsource_url列に使用
source_015,mars_petcare,https://www.mars.com/ja-jp/our-brands/petcare,商品マスタのsource_url列に使用
source_016,nutro,https://store.nutro.jp/,商品マスタのsource_url列に使用
source_017,nyantomo,https://nyantomo.com/,商品マスタのsource_url列に使用
source_018,nyantomo_chip,https://nyantomo.com/lineup/chip/,商品マスタのsource_url列に使用
source_019,nyantomo_products,https://products.st-c.co.jp/brand/nyantomo/,商品マスタのsource_url列に使用
source_020,lion_litter,https://www.lion-pet.co.jp/catsuna/,商品マスタのsource_url列に使用
source_021,lion_petkiss,https://www.lion-pet.co.jp/petkiss/cat/lineup.htm,商品マスタのsource_url列に使用
source_022,iris_litter,https://www.irisohyama.co.jp/products/pet-supplies-pet-food/cat-sand/,商品マスタのsource_url列に使用
source_023,iris_pet,https://www.irisohyama.co.jp/products/pet-supplies-pet-food/,商品マスタのsource_url列に使用
source_024,petio,https://www.petio.com/,商品マスタのsource_url列に使用
source_025,doggyman,https://www.doggyman.com/,商品マスタのsource_url列に使用
source_026,greenies,https://m.greenies.jp/,商品マスタのsource_url列に使用
source_027,charm_catdry,https://shopping.geocities.jp/chanet/docs/catdrylist_yh.html,商品マスタのsource_url列に使用
source_028,premium_min,https://www.min-petkenko.com/premiumFood.php?mode=cat,商品マスタのsource_url列に使用
source_029,aixia_catfood,https://www.aixia.jp/catfood/,商品マスタのsource_url列に使用
source_030,hagoromo_muichimotsu,https://www.hagoromofoods.co.jp/products/petcare/list/1.html,商品マスタのsource_url列に使用
source_031,hagoromo_petcare_cat,https://www.hagoromofoods.co.jp/products/petcare/cat/,商品マスタのsource_url列に使用
source_032,mamacook_cat,https://www.mamacook.co.jp/lineup/?cat=cat,商品マスタのsource_url列に使用
source_033,smack_minette,https://www.smack.co.jp/cat_food/minette_4p_gf.html,商品マスタのsource_url列に使用
source_034,petline_2026spring,https://www.petline.co.jp/news/2026/03/002333/,商品マスタのsource_url列に使用
